,precision,recall,f1-score,support
COMMA,0.0680129990714949,0.31573275862068967,0.11191749427043547,928
PERIOD,0.23472446391514873,0.6264615384615385,0.34149614223414965,1625
micro avg,0.15164835164835164,0.5135135135135135,0.23414895517056616,2553
macro avg,0.1513687314933218,0.47109714854111406,0.22670681825229255,2553
weighted avg,0.17412585859790988,0.5135135135135135,0.2580456975375861,2553
