,precision,recall,f1-score,support
COMMA,0.06271379703534778,0.05536912751677853,0.05881304580288719,2980
PERIOD,0.05604203152364273,0.03803486529318542,0.04531508142553694,2524
micro avg,0.060082872928176795,0.047420058139534885,0.053005686433793664,5504
macro avg,0.05937791427949526,0.046701996404981974,0.052064063614212064,5504
weighted avg,0.0596542882868842,0.047420058139534885,0.05262320894089009,5504
