,precision,recall,f1-score,support
COMMA,0.039068666140489344,0.16150081566068517,0.06291706387035272,613
PERIOD,0.13474387527839643,0.27858787413660785,0.18163622717037778,1303
micro avg,0.08837031369548584,0.24112734864300625,0.1293393057110862,1916
macro avg,0.08690627070944289,0.2200443448986465,0.12227664552036524,1916
weighted avg,0.10413380053855456,0.24112734864300625,0.14365353035257228,1916
